zip_code,num_complaints
60601,7
60602,4
60603,4
60604,1
60605,54
60606,5
60607,39
60608,33
60609,31
60610,59
60611,58
60612,12
60613,20
60614,102
60615,18
60616,52
60617,10
60618,46
60619,27
60620,6
60622,43
60623,6
60624,4
60625,48
60626,8
60628,2
60629,13
60630,16
60631,6
60632,4
60633,6
60634,16
60636,4
60637,8
60638,10
60639,11
60640,33
60641,12
60642,32
60643,10
60644,6
60645,6
60646,6
60647,39
60649,3
60651,4
60652,13
60653,8
60654,37
60655,4
60656,1
60657,57
60659,16
60660,6
60661,14
60666,1
60706,1
60707,6
